2021;WUR Rank 2021;Institution;Location
1 ;13;Nanyang Technological University (NTU);Singapore
2 ;27 ;The Hong Kong University of Science and Technology (HKUST);Hong Kong SAR
3 ;55;KAIST - Korea Advanced Institute of Science and Technology;South Korea
4 ;48  ;City University of Hong Kong;Hong Kong SAR
5 ;52  ;Universit? PSL (Paris Sciences & Lettres);France
6 ;75 ;The Hong Kong Polytechnic University;Hong Kong SAR
7 ;77  ;Pohang University of Science and Technology (POSTECH);South Korea
8 ;83  ;Sorbonne University;France
9 ;127  ;Aalto University;Finland
10 ;132;Universiti Putra Malaysia (UPM);Malaysia
11 ;133;University of Technology Sydney (UTS);Australia
12 ;138 ;CentraleSup?lec;France
13 ;187;Universiti Teknologi Malaysia (UTM);Malaysia
14 ;196;University of Wollongong;Australia
15 ;211;Khalifa University;United Arab Emirates
16 ; 217;Queensland University of Technology (QUT);Australia
17 ;217;Curtin University;Australia
18 ;223  ;RMIT University;Australia
19 ;234;Maastricht University;Netherlands
20 ;238;University of Antwerp;Belgium
21 ;245;Qatar University;Qatar
22 ;254  ;Universiti Brunei Darussalam (UBD);Brunei
23 ;264;Hong Kong Baptist University (HKBU);Hong Kong SAR
24 ;265;University of Tsukuba;Japan
25 ;267;National Taiwan University of Science and Technology;Taiwan
26;273;Universit? della Svizzera italiana;Switzerland
26 ; 275 ;Deakin University;Australia
26;275;University of Paris;France
27 ;284;United Arab Emirates University;United Arab Emirates
28 ;287;Universitat Pompeu Fabra;Spain
29 ;295;University of South Australia (UniSA);Australia
30 ;295;Gwangju Institute of Science and Technology (GIST);South Korea
31 ;298;National Research University - Higher School of Economics (HSE);Russia
32 ;298;National Yang Ming University;Taiwan
33 ;300;Griffith University;Australia
34 ;305;Aalborg University;Denmark
35 ; 311;Universidad Carlos III de Madrid;Spain
36 ;314;Universitat Polit?cnica de Catalunya;Spain
36;323;Southern University of Science and Technology (SUSTECH);Mainland China
37 ;327;IE University;Spain
38 ;342;Universit? Grenoble-Alpes (UGA);France
39;348;American University of Sharjah;United Arab Emirates
40 ;350;Universiti Teknologi Brunei;Brunei
41;355;National University of Sciences and Technology (NUST) Islamabad;Pakistan
42;357;University of Lisbon;Portugal
43;357;L.N. Gumilyov Eurasian National University;Kazakhstan
43;362;Link?ping University;Sweden
44;367;University of Macau;Macau SAR
45;372;Swinburne University of Technology;Australia
46;373;Pakistan Institute of Engineering and Applied Sciences (PIEAS);Pakistan
47;375;Sultan Qaboos University;Oman
48;377;Universidad de Palermo;Argentina
49;379;Taylor's University;Malaysia
50;383;Oxford Brookes University;United Kingdom
51-60;387;Shanghai University;China (Mainland)
51-60;391;UCSI University;Malaysia
51-60 ;392;Universit? Vita-Salute San Raffaele ;Italy
51-60;398;Universit? de Strasbourg;France
51-60 ;409;Tampere University;Finland
51-60 ;=414 ;Bond University;Australia
51-60;416;National Sun Yat-sen University;Taiwan
